DataSet,Title,Organism,Platform,Series,samples
GDS5811,TGFβ1 effect on gingival fibroblasts pretreated with TGFβ-associated kinase 1 inhibitor 5Z-7-Oxozeanol,Homo sapiens,GPL6244,GSE65069,8
GDS5627,Dasatinib-resistant and dasatinib-sensitive pancreatic cancer cell lines,Homo sapiens,GPL10558,GSE59357,18
GDS5620,H3K79 histone methyl transferase DOT1L inhibitor Compound 55 effect on breast cancer cells: dose response,Homo sapiens,GPL10558,GSE56630,8
GDS5619,H3K79 histone methyl transferase DOT1L inhibitor EPZ004777 effect on breast cancer cells: dose response,Homo sapiens,GPL10558,GSE56630,8
GDS5824,Short-term high fat diet effect on epididymal adipose fractions: time course,Mus musculus,GPL6246,GSE65557,18
GDS5819,Metastatic breast cancer and sepsis: monocytes,Homo sapiens,GPL10558,GSE65517,13
GDS5808,Type I angiotensin II receptor antagonist valsartan effect on mitral regurgitation males: left atria,Sus scrofa,GPL3533,GSE43072,6
GDS5803,Radioactive iodine effect on normal thyroid: dose response,Mus musculus,GPL6885,GSE54594,4
GDS5814,Nitrosative stress effect on activator protein 1-deficient fission yeast,Schizosaccharomyces pombe...,GPL2529,GSE50899,8
GDS5804,PI3K/mTOR Inhibitor NVP-BEZ235 and taxotere effects on prostate cancer xenograft tumors,Homo sapiens,GPL570,GSE49232,4
GDS5810,Hypoxia effect on von Hippel Lindau-overexpressing renal cell carcinoma cells,Homo sapiens,GPL6244,GSE65168,8
GDS5822,Anti-CTLA-4 immunotherapy effect on αSMA+ myofibroblast late-depleted pancreatic ductal adenocarcinoma model,Mus musculus,GPL6887,GSE52812,9
GDS5821,αSMA+ myofibroblast late depletion effect on pancreatic ductal adenocarcinoma model,Mus musculus,GPL6887,GSE52812,6
GDS5820,αSMA+ myofibroblast early depletion effect on pancreatic ductal adenocarcinoma model,Mus musculus,GPL6887,GSE52812,6
GDS5816,Methyltransferase EZH2 inhibition effect on ARID1A mutated ovarian clear cell cancer cell line,Homo sapiens,GPL10558,GSE54979,9
GDS5818,Normal liver developmental stages: embryonic and postnatal,Mus musculus,GPL7202,GSE65063,11
GDS5807,Snail transcription factor/ERα ligand-binding region chimeric protein effect on embryonic stem cells: time course,Mus musculus,GPL6887,GSE57854,6
GDS5802,Bone marrow mesenchymal stromal cells from primary myelofibrosis patients,Homo sapiens,GPL4133,GSE44426,12
GDS6000,High-fat diet effect on brown adipose tissue development,Mus musculus,GPL6887,GSE64718,33
GDS5800,Interstitial fluid flow effect on noninvasive and invasive ERBB2-positive breast cancer cells,Homo sapiens,GPL10558,GSE64670,12
GDS5474,TGFβ-activated kinase 1 deficiency effect on liver,Mus musculus,GPL6885,GSE51962,4
GDS5435,Dietary palatinose effect on liver,Mus musculus,GPL6885,GSE54723,14
GDS5455,Ribosomal S6 kinase 2 deficiency effect on TNF-α transgenic model of inflammatory arthritis: fibroblast-like synoviocytes,Mus musculus,GPL1261,GSE52992,6
GDS5451,Pregnancy effect on liver of cytochrome P450 2D6 hepatic metabolism model: time course,Mus musculus,GPL1261,GSE50166,6
GDS5438,Lung from cigarette smoke-related chronic obstructive pulmonary disease model: time course,Mus musculus,GPL6885,GSE52509,12
GDS5473,Short-term fasting effect on skeletal muscle: time course,Homo sapiens,GPL10558,GSE55924,48
GDS5436,Metformin effect on Mycobacterium tuberculosis-infected lung,Mus musculus,GPL6887,GSE57275,14
GDS5461,17β-estradiol effect on uterus of uterine epithelial ERα conditional knockout model: time course,Mus musculus,GPL4134,GSE53812,18
GDS5460,Survival motor neuron deficiency effect on axonal compartment of cultured motoneurons,Mus musculus,GPL1261,GSE59506,9
GDS5459,Survival motor neuron deficiency effect on somatodendritic compartment of cultured motoneurons,Mus musculus,GPL1261,GSE59506,9
GDS5439,Mutant HLA-F-adjacent transcript 10 overexpression effect on HCT116 colon cancer cell line,Homo sapiens,GPL10558,GSE54167,10
GDS5423,Circadian modulators SHARP1/SHARP2 deficiency effect on cortex: time course,Mus musculus,GPL81,GSE59941,8
GDS5427,Osteoarthritic acetabular labrum 3-D culture,Homo sapiens,GPL6244,GSE60762,8
GDS5432,Age effect on corneal endothelium,Homo sapiens,GPL11532,GSE58315,9
GDS5458,Onecut1 deficiency effect on embryonic E14.5 retina,Mus musculus,GPL1261,GSE57917,6
GDS5457,Onecut2 deficiency effect on adult retina,Mus musculus,GPL1261,GSE57918,6
GDS5456,TGIF1-transduced MLL-AF9-transformed leukemic cells,Mus musculus,GPL6246,GSE55713,6
GDS5468,Interleukin-33 effect on dual-specificity phosphatase 5-deficient bone marrow derived eosinophils,Mus musculus,GPL1261,GSE62999,20
GDS5437,Metastatic breast cancer model: premetastatic lung,Mus musculus,GPL1261,GSE62817,14
GDS5425,Monoacylglycerol acyltransferase 1 deficiency effect on high-fat diet fed mice: liver,Mus musculus,GPL6887,GSE60349,8
GDS5469,Left ventricle myocardium from MerCreMer model of transient cardiomyopathy: time course,Mus musculus,GPL6885,GSE54681,19
GDS5443,Human and chimpanzee TS12KOS vector-generated induced pluripotent stem cells,Pan troglodytes...,GPL570,GSE62572,7
GDS5430,Ethanol effect on lymphoblastoid cell lines from alcoholics,Homo sapiens,GPL570,GSE52553,84
GDS5440,Androgen effect on carboxyl terminal-binding protein 2-deficient prostate cancer cell line,Homo sapiens,GPL6244,GSE58309,10
GDS5433,Articular cartilage zones: 1-week old normal proximal tibia,Mus musculus,GPL1261,GSE51994,14
GDS5606,Androgen effect on runt-related transcription factor 1-deficient prostate cancer cell line,Homo sapiens,GPL6244,GSE62454,4
GDS5914,YAP transcriptional regulator depletion effect on endothelial cells,Homo sapiens,GPL6244,GSE61989,12
GDS5349,Dendritic cell subsets,Homo sapiens,GPL6884,GSE60317,11
GDS5344,Streptozotocin-induced type 1 diabetes model: brain hypothalamus,Mus musculus,GPL8321,GSE62013,17
GDS5426,Hutchinson Gilford Progeria Syndrome cell line response to oncogenic challenge,Homo sapiens,GPL570,GSE60518,8
GDS5366,Cultivated amniotic membrane expanded limbal epithelium,Homo sapiens,GPL6244,GSE56421,6
GDS5375,DEK oncogene deficiency effect in U937 leukemic monocyte lymphoma cells,Homo sapiens,GPL10558,GSE60732,9
GDS5345,Dietary vitamin D3 supplementation effect on hippocampus: dose effect,Rattus norvegicus,GPL6247,GSE61326,26
GDS5607,A 3-D ex vivo model of oral wound healing: primary gingival fibroblasts,Homo sapiens,GPL570,GSE61314,4
GDS5206,Silica nanoparticle effect on lung adenocarcinoma epithelial A549 cells,Homo sapiens,GPL6480,GSE53700,18
GDS5428,CD40 activation effect on DBC1-deficient splenic B cells,Mus musculus,GPL6885,GSE61029,8
GDS5332,Death receptor knockout effect on NEMO-deficient model of chronic liver disease,Mus musculus,GPL6246,GSE33161,11
GDS5336,Anterior stomach vagotomy effect on INS-GAS gastric cancer model stomach: time course,Mus musculus,GPL6887,GSE30295,32
GDS5219,Histone methyltransferase MMSET overexpression effect on KMS11 multiple myeloma cell line,Homo sapiens,GPL6884,GSE57863,12
GDS5388,Glucosamine treatment effect on KMH2 malignant lymphocytes,Homo sapiens,GPL11532,GSE49185,6
GDS5275,Oral ruxolinitib effect on alopecia areata patients: scalp skin,Homo sapiens,GPL570,GSE58573,7
GDS5274,Alopecia areata model: skin,Mus musculus,GPL1261,GSE45513,6
GDS5273,Topical protein tyrosine kinase inhibitor effect on graft model of alopecia areata: time course,Mus musculus,GPL1261,GSE45514,31
GDS5272,Alopecia areata: scalp skin,Homo sapiens,GPL570,GSE45512,10
GDS5434,Articular and growth plate cartilage zones: 10-day old normal proximal tibia,Rattus norvegicus,GPL6247,GSE54216,12
GDS5424,Commensal bacteria colonization effect on gnotobiotic model of food allergy: colonic epithelial cells,Mus musculus,GPL6885,GSE60039,8
GDS5374,Histone/protein acetyltransferase (HAT) deficiency effect on Foxp3+ T-regulatory cells,Mus musculus,GPL1261,GSE60318,9
GDS5376,Homeobox protein Nanog transcription factor overexpression effect on colon and intestine cells,Mus musculus,GPL6885,GSE31413,8
GDS5171,Supraclavicular and subcutaneous adipose tissue progenitor cells,Homo sapiens,GPL6244,GSE54280,12
GDS5608,NF-κB subunit p65 depletion effect on Ras-induced transformation model: cultured embryonic fibroblasts,Mus musculus,GPL1261,GSE59545,4
GDS5422,Receptor activator of NF-κB ligand effect on bone marrow-derived macrophage cells: time course,Mus musculus,GPL6885,GSE57468,8
GDS5421,Transcription factor E2-2 haplodeficiency effect on systemic lupus erythematosus model: splenocytes,Mus musculus,GPL6246,GSE57324,8
GDS5410,Non-small cell lung cancer H460-derived cancer stem cell differentiation,Homo sapiens,GPL4133,GSE54712,8
GDS5324,Beta-catenin depletion effect on pancreatic cancer cell line,Homo sapiens,GPL570,GSE57728,4
GDS5323,CREB-Binding Protein Inhibitor ICG-001 effect on pancreatic cancer cell line: time course,Homo sapiens,GPL570,GSE57728,12
GDS5186,Ruptured intracranial aneurysms,Homo sapiens,GPL4133,GSE54083,23
GDS5082,Fetal alcohol spectrum disorder model: whole embryo,Danio rerio,GPL1319,GSE48380,14
GDS5297,Fezf2 overexpresson effect on cortical neural progenitors in vivo: time course,Mus musculus,GPL1261,GSE56451,14
GDS5367,miR-542-3p overexpression effect on TP53 wild-type osteosarcoma cell line,Homo sapiens,GPL10558,GSE47363,6
GDS5049,Chronic ethanol ingestion effect on lung alveolar type 2 cell,Rattus norvegicus,GPL85,GSE55243,7
GDS5419,MEK inhibitor PD-0325901 and rapamycin combined treatment effect on malignant peripheral nerve sheath tumor model,Mus musculus,GPL6246,GSE57141,8
GDS5037,Severe asthma: bronchial epithelial cell,Homo sapiens,GPL6480,GSE43696,108
GDS5093,Acute Dengue patients: whole blood,Homo sapiens,GPL13158,GSE51808,56
GDS5257,Calyx of Held synaptic development: globular bushy cells,Rattus norvegicus,GPL1355,GSE49599,20
GDS5250,Striatal-enriched protein tyrosine phosphatase (STEP) knockout effect on striatum,Mus musculus,GPL1261,GSE51678,13
GDS5400,DPP4A overexpression effect on fibroblast cell line,Mus musculus,GPL6885,GSE58709,8
GDS5287,SMRT depleted breast cancer cell line response to estradiol: time course,Homo sapiens,GPL6244,GSE57935,24
GDS5386,Histone deacetylase inhibitor and chemotherapy combined effect on Raji Burkitt's lymphoma cell line,Homo sapiens,GPL4133,GSE48399,8
GDS5353,Non-steroidal anti-inflammatory drug treatment effect on serous ovarian adenocarcinoma cell lines,Homo sapiens,GPL6104,GSE45052,9
GDS5020,Nonobese diabetic NOD spleen CD4 T-cells: 4-week old females,Mus musculus,GPL1261,GSE46600,15
GDS5019,Nonobese diabetic NOD spleen CD4 T-cells: 3-week old females,Mus musculus,GPL1261,GSE46600,15
GDS5018,Nonobese diabetic NOD spleen CD4 T-cells: 2-week old females,Mus musculus,GPL1261,GSE46600,14
GDS5396,TGF-beta receptor type 1 gene Alk5 deficiency effect on embryonic tongue bud,Mus musculus,GPL1261,GSE52358,8
GDS5318,Drug efflux transporter ABCB5 knockdown effect on G3361 melanoma cells,Homo sapiens,GPL571,GSE38290,6
GDS5317,Drug efflux transporter ABCB5 knockdown effect on A375 melanoma cells,Homo sapiens,GPL571,GSE38290,6
GDS5211,Turner syndrome: second trimester amniotic fluid,Homo sapiens,GPL570,GSE58435,10
GDS5315,Linezolid and vancomycin effect on whole blood of methicillin-resistant Staphylococcus aureus (MRSA) sepsis model: time course,Mus musculus,GPL1261,GSE38531,35
GDS5671,Notch1 stimulation effect on glioblastoma stem cell cultures,Homo sapiens,GPL11532,GSE44561,8
GDS5285,Early B-cell factor 1 depletion effect on mature adipocyte cell line,Mus musculus,GPL1261,GSE58193,9
GDS5385,Lipopolysaccharide effect on tumor progression locus 2 kinase-deficient macrophages,Mus musculus,GPL1261,GSE48338,8
GDS5026,17β-estradiol effect on breast adenocarcinoma cells deficient in extracellular signal-regulated kinase 5,Homo sapiens,GPL96,GSE53394,8
GDS5667,Protein tyrosine phosphatase receptor-δ and cyclin-dependent kinase inhibitor 2A deficiency effect on RCAS PDGFB/Nestin tv-A glioma model,Mus musculus,GPL8321,GSE55061,7
GDS5415,Model for Wilms tumor of the kidney: time course,Mus musculus,GPL6885,GSE56323,8
GDS5384,Interferon-gamma effect on peripheral blood monocyte-derived dendritic cells,Homo sapiens,GPL6244,GSE47621,8
GDS5337,Heat shock protein 90 inhibitor effect on Huntington’s disease model: brain striatum,Mus musculus,GPL1261,GSE29681,32
GDS5298,miR-28 expression effect on Burkitt lymphoma cell line: time course,Homo sapiens,GPL570,GSE56268,24
GDS5286,Monocyte-derived dendritic cells from young and aged donors,Homo sapiens,GPL571,GSE58015,9
GDS5097,Salmonella type III secretion effector SteA effect on epithelial cells,Homo sapiens,GPL6244,GSE51043,9
GDS5378,Peroxisome proliferator-activated receptor δ (PPARδ) activation effect on cultured myotubes,Homo sapiens,GPL6244,GSE40789,8
GDS5263,Enforced Grainyhead-like 1 expression effect on BE(2)-C neuroblastoma cell line: time course,Homo sapiens,GPL10558,GSE47407,12
GDS5078,Fra-1 deficient lung response to fibrotic agent bleomycin,Mus musculus,GPL6246,GSE43695,12
GDS4968,Monoclonal gammopathies: bone marrow plasma cells,Homo sapiens,GPL6244,GSE47552,99
GDS5256,Caveolin-1 deficiency effect on dexamethasone treatment: embryonic day E14.5 cerebral cortex,Mus musculus,GPL8321,GSE49804,20
GDS5085,Oncogenic BRAF harboring melanoma cell line response to BRAF inhibition,Homo sapiens,GPL6244,GSE42872,6
GDS5289,Lung eosinophil response to allergen challenge,Mus musculus,GPL6246,GSE57757,7
GDS5003,Mammalian heart development: time course,Mus musculus,GPL1261,GSE51483,45
GDS5292,TRPV1 activation effect on epithelial cell line,Homo sapiens,GPL6480,GSE57759,8
GDS5352,Long noncoding MALAT1 RNA deficiency effect on normal diploid fibroblasts W138,Homo sapiens,GPL10558,GSE44240,9
GDS5301,Androgen deprivation effect on CD4 T-cells,Mus musculus,GPL11180,GSE54945,4
GDS4951,Lysophosphatidic acid effect on breast and prostate cancer cell lines,Homo sapiens,GPL570,GSE56265,12
GDS5063,Conventional cigarette or modified-risk tobacco product smoke effect on lung bronchial epithelium: dose response,Rattus norvegicus,GPL1355,GSE50254,25
GDS5062,Conventional cigarette or modified-risk tobacco product smoke effect on lung parenchyma: dose response,Rattus norvegicus,GPL1355,GSE50254,25
GDS5061,Conventional cigarette or modified-risk tobacco product smoke effect on nasal respiratory epithelium: dose response,Rattus norvegicus,GPL1355,GSE50254,25
GDS4994,IFNβ-1a in vivo treatment effect on CIS multiple sclerosis patients: peripheral blood mononuclear cells,Homo sapiens,GPL570,GSE53716,12
GDS5417,Embryonic lung and brain cortex: endothelial cells,Mus musculus,GPL1261,GSE56777,8
GDS5320,Platelet-derived growth factor C transgenic model of hepatocellular carcinoma: liver stromal cells,Mus musculus,GPL6246,GSE38199,16
GDS5668,Macrophage-restricted interleukin-10 receptor deficiency effect on colonic resident macrophages,Mus musculus,GPL6246,GSE56444,5
GDS5157,Auditory fear conditioning effect on amygdala: time course,Mus musculus,GPL6887,GSE57465,12
GDS5060,Zymosan-induced inflammation effect on peritoneal monocyte and macrophage populations: time course,Mus musculus,GPL1261,GSE28621,21
GDS5609,Notch ligand delta-like 4 effect on interleukin 10-secreting T helper 1 cells,Mus musculus,GPL1261,GSE57417,4
GDS5195,nuo-6;ced-4 double mutation effect on young adults,Caenorhabditis elegans,GPL200,GSE54024,13
GDS5194,isp-1;ced-4 double mutation effect on young adults,Caenorhabditis elegans,GPL200,GSE54024,13
GDS5193,isp-1 and nuo-6 mutants and paraquat-treated wildtype young adults,Caenorhabditis elegans,GPL200,GSE54024,13
GDS4892,Age effect on skeletal muscle precursor cells,Mus musculus,GPL1261,GSE50821,14
GDS5674,ErbB4 isoforms CYT-1 and CYT-2 overexpression effect on MCF10A mammary epithelial cells,Homo sapiens,GPL10558,GSE57339,12
GDS5544,Edelfosine effect on stimulated CD4+ T cells,Homo sapiens,GPL6244,GSE44392,12
GDS5304,Edelfosine effect on unstimulated CD4+ T cells: dose response,Homo sapiens,GPL6244,GSE44392,12
GDS5276,Myotonic dystrophy type 2: vastus lateralis biopsies,Homo sapiens,GPL6102,GSE45331,10
GDS5669,WHO grade IV primary glioblastoma of long-term survivors,Homo sapiens,GPL571,GSE54077,7
GDS4933,Gain-of-function model for conditional activation of IKK2/NF-κB in pancreatic beta-cells,Mus musculus,GPL6246,GSE47504,14
GDS5059,Acute myeloid leukemia fusion oncogenes in vitro effect on primary CD34+ cells: time course,Homo sapiens,GPL570,GSE57194,30
GDS5677,Mutant isocitrate dehydrogenase 1 effect on hepatoblasts grown on uncoated plates,Mus musculus,GPL8321,GSE57002,4
GDS5676,Mutant isocitrate dehydrogenase 1 and 2 effect on hepatoblasts grown on collagen-coated plates,Mus musculus,GPL8321,GSE57002,10
GDS5678,Anti-VEGF and Anti-Notch treatment effect on U87 glioblastoma xenograft tumors [Mouse430_2],Homo sapiens...,GPL1261,GSE39413,14
GDS5672,Anti-VEGF and Anti-Notch treatment effect on U87 glioblastoma xenograft tumors [HG-U133_Plus_2],Homo sapiens,GPL570,GSE39223,9
GDS5306,Human epidermal growth factor receptor 2-positive breast cancer brain metastases,Homo sapiens,GPL1352,GSE43837,38
GDS4872,Fasting effect on vanin-1 depleted liver,Mus musculus,GPL11533,GSE51712,16
GDS5670,Mesenchymal-to-amoeboid transition effect on Hs294T melanoma cells,Homo sapiens,GPL6244,GSE52246,8
GDS5255,Diabetic lung,Rattus norvegicus,GPL341,GSE15900,12
GDS5673,Glucagon effect on hepatocytes deficient in lysine acetyltransferase 2B or WD repeat-containing protein 5,Mus musculus,GPL6246,GSE47179,10
GDS5158,Ethanol effect on differentiated H1 embryonic stem cells,Homo sapiens,GPL570,GSE56906,10
GDS5088,"First, second and third trimester pregnancy: maternal cell-free plasma",Homo sapiens,GPL6244,GSE56899,48
GDS5418,Glucose effect on steroid receptor coactivator 1 deficient-A549 lung cancer epithelial cell line,Homo sapiens,GPL570,GSE56843,8
GDS5390,Whey protein hydrolysate diet effect on exercised epitrochlearis muscle,Rattus norvegicus,GPL1355,GSE49486,8
GDS5325,TRPM7 deficiency effect on embryonic stem cells,Mus musculus,GPL6887,GSE55578,6
GDS5641,Retinoblastoma ∆G/∆G mutant allele effect on quiescent embryonic fibroblasts,Mus musculus,GPL6246,GSE54924,9
GDS5653,Carbonyl cyanide-m-chlorophenyl hydrazone effect on Bacillus subtilis: time course,Bacillus subtilis,GPL6257,GSE55051,6
GDS5652,Potassium acetate effect on Bacillus subtilis: time course,Bacillus subtilis,GPL6257,GSE55051,6
GDS5445,E3 ubiquitin ligase PARK2 depletion effect on SF539 glioma cell line,Homo sapiens,GPL571,GSE50864,6
GDS5444,E3 ubiquitin ligase PARK2 depletion effect on SNB19 glioma cell line,Homo sapiens,GPL571,GSE50864,6
GDS5635,Chlamydia Type III secretion effector TepP-deficient mutant infection of endocervical epithelial cells in vitro,Homo sapiens,GPL571,GSE54336,6
GDS5294,HIV-1 Vpr effect on monocyte-derived macrophage,Homo sapiens,GPL570,GSE56591,4
GDS5295,Kelch-like family member 40 deficiency effect on the skeletal muscle,Mus musculus,GPL6887,GSE56570,6
GDS4961,Claudin 18 deficiency effect on the lung,Mus musculus,GPL6885,GSE48443,7
GDS5414,Core binding factor β deficiency effect on bone marrow derived-granulocyte macrophage progenitor cells,Mus musculus,GPL6246,GSE55227,4
GDS5413,Core binding factor β deficiency effect on bone marrow derived-LSK hematopoietic stem cells,Mus musculus,GPL6246,GSE55227,4
GDS5416,Supercritical rosemary extract effect on SW620 colon cancer cells: dose response,Homo sapiens,GPL6480,GSE56496,8
GDS5645,v-raf murine sarcoma viral oncogene homolog B-mutant thyroid carcinoma tumors,Mus musculus,GPL6246,GSE55933,10
GDS5163,"Hydrogen peroxide-scavenging enzymes AhpCF, KatE and KatG deficiency",Escherichia coli str. K-12 substr. MG1655...,GPL3154,GSE56133,6
GDS5162,Gentamicin effect on fur-deficient cells,Escherichia coli str. K-12 substr. MG1655...,GPL3154,GSE56133,12
GDS5160,Multiple bactericidal antibiotics,Escherichia coli str. K-12 substr. MG1655...,GPL3154,GSE56133,18
GDS5047,Cocaine abuse effect on the midbrain,Homo sapiens,GPL6947,GSE54839,60
GDS4866,"Progesterone effect on uteri of ovariectomized, steroid receptor coregulator-2 deficient mutants",Mus musculus,GPL1261,GSE31406,12
GDS5634,High multiplicity mycobacterial infections of macrophages in vitro,Mus musculus,GPL1261,GSE45675,4
GDS5431,Rho kinase inhibition effect on epidermal keratinocyte in vitro,Homo sapiens,GPL10558,GSE52515,4
GDS5420,Psoriasis response to brodalumab: dose response and time course,Homo sapiens,GPL570,GSE53552,99
GDS5196,Interferon-γ and lipopolysaccharide treatment effect on bone marrow derived macrophages,Mus musculus,GPL1261,GSE53986,16
GDS4952,BET bromodomain inhibitor I-BET762 effect on prostate cancer cell lines: dose response,Homo sapiens,GPL570,GSE56352,24
GDS5383,Interleukin-6 effect on interleukin-6 receptor α-deficient macrophages,Mus musculus,GPL6246,GSE47426,8
GDS5640,Double-knockout p53/PRKDC model of B cell acute lymphoblastic leukemia: leukemic blasts,Mus musculus,GPL1261,GSE56345,9
GDS5368,N-terminal truncated GATA1-mutant effect on fetal CD34+ hematopoietic stem and progenitor cells: time course,Homo sapiens,GPL6480,GSE56332,9
GDS4999,Very low density lipoprotein receptor knockout effect in house dust mite model of asthma: lung,Mus musculus,GPL6246,GSE55247,16
GDS4823,SIRT4 deficiency effect on the liver,Mus musculus,GPL1261,GSE56321,12
GDS5648,Chronic high-calorie diet effect on Kras-driven lung tumors,Mus musculus,GPL6887,GSE56260,11
GDS5373,miR-221 expression effect on prostate cancer cell line,Homo sapiens,GPL570,GSE45627,4
GDS5205,Long-term adult survivors of glioblastoma: primary tumors,Homo sapiens,GPL570,GSE53733,70
GDS5636,Basic helix-loop-helix transcription factor Bhlhe40-deficient differentiated T helper cell subsets in vitro,Mus musculus,GPL6246,GSE49166,6
GDS5343,T helper type 9 cells stimulated with anti-CD3 antibody,Mus musculus,GPL7202,GSE44937,6
GDS5291,T helper type 9 cells,Mus musculus,GPL7202,GSE44937,9
GDS5675,Histone deacetylase HDAC7 re-expression effect on pre-B cell transdifferentiation into macrophages: time course,Mus musculus,GPL11180,GSE36827,12
